and	और
part	हिस्से
part	हिस्सा
part	पार्ट
part	भाग
november	नवंबर
november	नवम्बर
players	खिलाडी
players	खिलाड़ी
list	सूची
please	please
please	प्लीज
please	कृपया
february	फरवरी
february	फ़रवरी
known	ज्ञात
second	दूसरा
second	सेकेंड
second	द्वितीय
second	सेकण्ड
second	सेकंड
second	दूसरी
name	नाम
group	ग्रुप
group	समूह
history	इतिहास
series	श्रेणी
just	सिर्फ
just	बस
north	उत्तर
work	कार्यालय
work	काम
work	कार्य
before	पहले
since	जबसे
since	चूंकि
season	मौसम
season	ऋतु
both	दोनों
both	दोनो
high	हाई
high	आलीशान
high	उच्च
high	ऊँची
district	जिला
district	डिस्ट्रिक्ट
district	जिलाध्यक्ष
district	ज़िला
now	अब
now	अभी
comments	टिप्पणियां
comments	टिप्पणियाँ
comments	टिप्पणी
because	क्योंकि
because	क्योकि
because	क्युकी
football	फुटबॉल
football	फुटबाल
football	फ़ुटबॉल
music	संगीत
music	म्यूज़िक
century	शतक
century	शताब्दी
century	सदी
league	लीग
edits	संपादन
debate	बहस
title	शीर्षक
articles	लेख
articles	आलेख
john	जॉन
same	समान
same	वही
including	सहित
english	english
english	अंग्रेज
english	अंग्रेजी
english	अंग्रेज़ी
album	एलबम
album	अलबम
album	एल्बम
number	संख्या
number	नंबर
number	क्रमांक
against	खिलाफ
against	विरुद्ध
against	विरूद्ध
family	फैमिली
family	परिवार
user	यूजर
user	प्रयोक्ता
user	उपयोगकर्ता
user	उपयोक्ता
based	आधारित
area	क्षेत्र
area	क्षेत्रफल
york	यॉर्क
life	जिंदगी
life	ज़िन्दगी
life	ज़िंदगी
life	जिन्दगी
life	जीवन
british	ब्रिटिश
british	अंग्रेजों
international	अंतर्राष्ट्रीय
international	अन्तर्राष्ट्रीय
international	अंतरराष्ट्रीय
game	गेम
game	खेल
above	अरदास
above	ऊपर
club	क्लब
club	क्लबों
your	आपकी
your	आपके
your	आपका
your	अपने
your	अपना
until	तक
until	जबतक
early	जल्दी
best	बेस्ट
best	सर्वश्रेष्ठ
best	बेहतरीन
west	पश्चिम
west	वेस्ट
house	घर
house	मकान
house	हाउस
company	कंपनी
company	कम्पनी
general	जनरल
general	साधारण
general	सामान्य
left	बायां
left	शेष
left	बाएं
left	बाएँ
very	बहुत
here	यहां
here	यहा
here	यहाँ
don	डॉन
living	सजीव
living	जीना
day	दिवस
day	दिन
several	कई
several	अनेक
place	जगह
place	स्थान
place	प्लेस
party	party
party	दल
party	पार्टी
college	कॉलेज
result	रिजल्ट
result	परिणाम
keep	रखें
keep	रखना
appropriate	उपयुक्त
appropriate	उचित
four	चार
even	सम
even	भी
class	कक्षा
class	वर्ग
class	क्लास
government	सरकार
government	सरकारी
how	केसे
how	कैसे
how	कैसा
called	बुलाया
called	पुकारा
did	किया
each	प्रत्येक
found	मिली
found	मिले
found	पाये
found	mile
found	पाया
found	मिला
center	केन्द्र
center	केंद्र
center	मध्य
center	बीच
per	स्वादानुसार
per	प्रति
style	शैली
style	style
style	अंदाज़
style	स्टाइल
com	com
long	लंबी
long	लंबा
long	लम्बी
long	long
country	देश
back	पीछे
back	बैक
back	पिछे
back	वापस
way	तरीका
way	राह
way	मार्ग
way	रास्ते
way	रास्ता
does	करता
www	www
modify	सुधारें
end	अंत
end	समाप्ति
end	समाप्त
make	बनाओ
make	बना
make	मेक
public	सार्वजनिक
public	जनता
public	लोक
public	पब्लिक
played	निभाई
won	जीता
won	जीते
won	जीती
support	समर्थन
support	सहायता
support	support
games	गेम्स
games	गेम
games	खेल
former	पूर्व
church	गिरजाघर
church	चर्च
church	गिरिजाघर
east	पूर्वी
east	पूर्व
east	ईस्ट
line	लाइन
line	पंक्ति
line	रेखा
line	लकीर
major	मेजर
major	प्रमुख
members	सदस्य
members	सदस्यों
good	good
good	अच्छे
good	गुड
good	शुभ
image	छवि
image	प्रतिबिम्ब
image	चित्र
show	दिखाओ
show	शो
show	दिखाएं
show	दिखाएँ
still	स्टिल
think	सोचो
below	नीचे
town	बस्ती
town	नगर
town	कस्बा
last	अंतिम
last	आखरी
last	आखिरी
last	पिछला
system	तंत्र
system	सिस्टम
system	तन्त्र
system	प्रणाली
right	सही
song	गीत
song	गाना
song	सोंग
non	नॉन
non	गैर
section	धारा
section	खंड
section	अनुभाग
section	खण्ड
single	अकेला
single	एकल
single	single
single	सिंगल
included	शामिल
align	पंक्तिबद्ध
align	क्षारीय
home	मुखपृष्ठ
home	गृह
home	होम
home	घर
women	औरतों
women	स्त्रियाँ
women	महिलाएँ
women	महिलाएं
women	महिलाओं
television	टेलीविजन
television	टीवी
television	दूरदर्शन
television	टेलीविज़न
seed	बीज
member	सदस्य
goals	लक्ष्यों
goals	लक्ष्य
sources	स्रोत
sources	स्त्रोत
book	बुक
book	किताबे
book	पुस्तक
book	किताब
station	स्टेशन
order	क्रम
order	ऑर्डर
order	आदेश
order	अनुक्रम
old	ओल्ड
old	पुराने
old	पुरानी
old	पुराना
old	वृद्ध
old	बूढ़ा
information	सुचना
information	एनोटेशन
information	जानकारी
information	सूचना
set	सेट
set	समुच्चय
set	नियत
own	अपनी
own	खुद
own	स्वयं
own	अपने
own	अपना
text	पाठ
text	टेक्स्ट
band	band
band	बैंड
point	बिंदु
point	बिन्दु
point	पॉइंट
point	पाइंट
local	स्थानीय
local	लोकल
river	नदी
top	उपर
top	ऊपर
top	टॉप
top	शीर्ष
main	मुख्य
main	मेन
main	प्रमुख
language	भाषा
french	फ़्रेंच
french	फ़्रांसीसी
french	फ्रांसीसी
french	फ्रेंच
https	https
named	नामित
off	बन्द
off	बंद
note	व्याख्या
note	नोट
career	कैरियर
career	आजीविका
career	करियर
original	मूल
original	मौलिक
original	असली
age	उम्र
age	आयु
service	सेवा
established	स्थापित
located	स्थित
located	स्तिथ
said	कहा
website	वेबसाइट
website	जालस्थल
population	जनसंख्या
population	आबादी
population	जनसांख्यिकी
air	वायु
air	एयर
german	जर्मन
german	जर्मनी
law	कानून
law	विधि
military	मिलिट्री
military	सैनिक
military	फौजी
military	सैन्य
great	महान
great	बड़ा
great	ग्रेट
within	अन्दर
within	भीतर
clubs	चिड़ी
clubs	क्लब
published	प्रकाशित
president	प्रदेशाध्यक्ष
president	राष्ट्रपति
president	अध्यक्ष
park	उद्यान
park	पार्क
official	अधिकारी
official	सरकारी
official	आधिकारिक
case	केस
case	मामला
london	लंदन
times	बार
times	टाइम्स
although	हालाँकि
although	हालांकि
small	छोटे
small	छोटा
small	छोटी
third	तृतीय
third	तीसरे
third	तीसरा
different	भिन्न
different	अलग
get	पाएँ
get	मिलेंगी
village	गांव
village	गाँव
closed	बन्द
closed	बंद
art	कला
art	आर्ट
player	खिलाड़ी
final	फ़ाइनल
final	अंतिम
final	फाइनल
community	समुदाय
community	जातियाँ
held	आयोजित
army	आर्मी
army	फ़ौज
army	सेना
army	फौज
award	अवार्ड
award	पुरस्कार
without	बिना
without	बगैर
death	निधन
death	मोत
death	मृत्यु
death	मौत
built	बनवाया
built	बनवाई
built	निर्मित
men	पुरुष
men	पुरुषों
men	मर्द
men	मेन
large	बड़े
large	बड़ा
large	बड़ी
large	विशाल
site	साइटें
site	साइट
site	साईट
deletion	हटाना
white	सफेद
white	सफ़ेद
white	श्वेत
along	साथ
five	पांच
five	पाँच
central	केंद्रीय
central	मध्य
central	सेंट्रल
road	रोड
road	सड़क
free	निशुल्क
free	मुफ्त
free	मुक्त
free	फ्री
free	आजाद
free	फ़्री
england	इंग्लैंड
england	इंग्लैण्ड
include	शामिल
association	सम्बद्धता
association	एसोसिएशन
association	संघ
down	नीचे
down	bas
given	दी
given	दिया
given	दिए
source	स्रोत
source	स्त्रोत
source	सोर्स
california	कैलिफोर्निया
california	कैलिफ़ोर्निया
man	पुरुष
man	मनुष्य
man	मैन
man	आदमी
man	इन्सान
man	man
version	वर्जन
version	संस्करण
written	लिखी
written	लिखा
created	बनाया
created	बनाए
created	निर्मित
media	मिडिया
media	मीडिया
black	काले
black	काला
black	ब्लैक
though	यद्यपि
though	हालांकि
php	पीएचपी
report	रिपोर्ट
report	रपट
building	बिल्डिंग
building	भवन
take	लें
take	ले
take	लो
division	विभाग
division	विभाजन
division	प्रभाग
comment	comment
comment	टिप्पणी
king	राजा
king	बादशाह
king	किंग
edit	संपादन
stadium	स्टेडियम
ship	जहाज
ship	शिप
ship	जलयान
research	अनुसंधान
research	शोध
record	रिकॉर्ड
record	रेकार्ड
record	रिकार्ड
archive	संग्रह
archive	अभिलेखागार
archive	अभिलेख
places	स्थान
cup	कप
records	रिकॉर्ड
often	अकसर
often	अक्सर
often	प्रायः
received	प्राप्त
side	पार्श्व
side	तरफ
side	पक्ष
power	पावर
power	शक्ति
education	शिक्षा
know	जानिये
know	जानिए
know	जान
category	वर्ग
category	श्रेणी
water	वाटर
water	पानी
water	जल
political	राजनीतिक
political	राजनैतिक
species	प्रजातियां
species	प्रजाति
field	फील्ड
field	फ़ील्ड
near	निकट
australia	आस्ट्रेलिया
australia	ऑस्ट्रेलिया
video	विडियो
video	video
video	वीडियो
island	आइलैंड
island	द्वीप
form	फ़ॉर्म
form	प्रपत्र
form	फॉर्म
form	फार्म
form	रूप
find	ढूंढें
find	ढूँढें
served	परोसा
play	खेल
project	परियोजना
project	प्रोजेक्ट
radio	रेडियो
proposed	प्रस्तावित
every	हर
every	प्रत्येक
development	विकास
example	उदाहरण
live	लाइव
live	सजीव
union	यूनियन
union	संघ
india	भारत
india	इंडिया
india	इण्डिया
next	अगला
special	ख़ास
special	विशेष
special	खास
court	कोर्ट
court	न्यायालय
court	अदालत
region	क्षेत्र
region	प्रदेश
little	छोटे
little	छोटा
little	लिटिल
little	छोटी
short	छोटा
short	छोटी
william	विलियम
province	प्रान्त
province	प्रांतों
province	प्रांत
western	पश्चिमी
son	बेटा
son	लाडला
son	सोन
son	पुत्र
son	बेटे
france	फ्रांस
france	फ़्रांस
council	मंत्रिपरिषद
council	काउंसिल
council	परिषद
others	अन्य
royal	नवाबी
royal	रॉयल
royal	शाही
royal	royal
current	धारा
current	मौजूदा
current	मौज़ूदा
current	वर्तमान
street	सड़क
street	गली
full	फुल
full	पूर्ण
full	पूरा
red	लाल
red	रेड
too	भी
too	too
department	विभाग
san	सान
san	सैन
help	मदद
help	सहायता
james	जेम्स
open	खुला
open	ओपन
open	खोलें
force	बल
force	फ़ोर्स
position	पद
position	स्थिति
head	दिमाग़
head	सिर
director	निर्देशक
director	निदेशक
father	चचा
father	बाप
father	father
father	पिता
track	ट्रैक
track	रील
track	track
http	http
http	एचटीटीपी
canada	कनाडा
australian	ऑस्ट्रेलियाई
george	जॉर्ज
george	जार्ज
jpg	jpg
level	स्तर
late	देरी
late	देर
late	लेट
summer	summer
summer	ग्रीष्म
summer	गर्मियों
summer	गर्मी
summer	गर्मियाँ
society	सोसायटी
society	समाज
moved	स्थानांतरित
office	आफिस
office	ऑफिस
office	कार्यालय
office	ऑफ़िस
office	दफ्तर
period	अवधि
period	काल
championship	चैम्पियनशिप
championship	चैंपियनशिप
round	दौर
round	गोल
round	राउंड
round	गोलाकार
story	कहानी
story	स्टोरी
songs	गाने
songs	गीत
songs	गीतों
various	विभिन्न
file	फाइल
file	फ़ाइल
file	संचिका
days	दिन
days	दिनों
land	भूमि
land	land
land	लैंड
land	जमीन
business	व्यवसाय
business	बिज़नेस
business	दुकानदारी
business	व्यापार
business	कारोबार
reason	कारण
america	अमरीका
america	अमेरिका
million	मिलियन
million	लाख
european	यूरोपियाई
european	यूरोपीय
term	पद
six	छः
six	छक्का
six	छह
post	पोस्ट
why	क्यूँ
why	क्यों
produced	उत्पादित
making	बनाने
making	बनाना
subject	विषय
young	युवा
young	जवान
young	यंग
total	कुल
david	डेविड
david	दाउद
science	विज्ञान
related	संबंधित
related	सम्बन्धित
rock	शैल
rock	रॉक
rock	चट्टान
archived	संग्रहीत
railway	रेलवे
railway	रेल
led	led
students	छात्रों
students	विद्यार्थी
started	शुरू
started	प्रारंभ
news	खबर
news	समाचार
news	न्यूज़
news	न्यूज
described	वर्णित
role	भूमिका
election	चुनाव
albums	एलबम
albums	एल्बम
present	मौजूद
present	मौजूदा
present	वर्तमान
present	उपस्थित
indian	भारतीय
kingdom	हुकूमत
kingdom	किंगडम
books	पुस्तकें
books	पुस्तकों
books	किताबें
books	किताबे
important	महत्वपूर्ण
northern	उत्तरी
love	प्यार
love	मोहब्बत
love	प्रेम
run	चला
run	चलाएँ
run	चलेगी
run	चलाएं
canadian	कनाडाई
press	प्रेस
press	दबाएँ
press	दबाएं
press	दबायें
rather	बजाय
rather	बल्कि
type	क़िस्म
type	प्रकार
act	एक्ट
act	अधिनियम
editor	संपादक
editor	एडिटर
came	आया
came	आये
came	आए
schools	विद्यालय
schools	स्कूल
schools	स्कूलों
program	प्रोग्राम
program	कार्यक्रम
once	एकबार
issue	मुद्दा
issue	समस्या
social	सामाजिक
social	सोशल
germany	जर्मनी
production	उत्पादन
male	पुरुष
male	नर
male	पुरूष
awards	पुरस्कार
points	बिंदु
points	पॉइंट
points	अंक
similar	समान
professional	पेशेवर
say	कहें
say	बोलो
say	कह
background	पृष्ठभूमि
enough	काफी
enough	पर्याप्त
lead	लीड
lead	सीसा
lead	सीसे
common	कॉमन
common	सामान्य
common	आम
overlap	ओवरलैप
data	आँकड़ा
data	डाटा
data	डेटा
data	आंकड़ा
color	रंग
better	बेहतर
person	व्यक्ति
services	सेवाएँ
services	सेवाएं
bgcolor	bgcolor
museum	संग्रहालय
battle	लड़ाई
battle	युद्ध
battle	बैटल
went	गए
went	गये
went	गया
went	गई
sports	क्रीड़ा
sports	खेलकूद
sports	स्पोर्ट्स
sports	खेल
currently	फिलहाल
hall	हॉल
buildings	भवनों
buildings	भवन
buildings	इमारतें
historic	ऐतिहासिक
date	तारीख
date	तारीख़
date	दिनांक
date	तिथि
deleted	विलोपित
deleted	मिटाया
considered	समझी
considered	माना
change	परिवर्तन
change	बदलाव
change	बदलें
location	लोकेशन
location	अवस्थिति
location	स्थान
must	जरूर
yes	yes
yes	हाँ
yes	हां
yes	यस
our	हमारा
our	हमारे
our	हमारी
southern	दक्षिणी
least	तनिक
lost	खोई
lost	गुमशुदा
lost	खोया
something	कुछ
review	समीक्षा
review	पुनर्विलोकन
together	साथ
robert	राबर्ट
robert	रॉबर्ट
fact	तथ्य
fact	फैक्ट
less	कम
japanese	जापानी
groups	समूहों
groups	समूह
content	विषयवस्तु
content	सामग्री
involved	शामिल
isbn	isbn
board	बोर्ड
board	बिसात
board	फलक
japan	जापान
japan	जापानी
control	नियंत्रण
control	कंट्रोल
policy	पॉलिसी
policy	नीति
modern	आधुनिक
human	मनुष्य
human	मानव
human	इंसान
half	हाफ़
half	आधा
half	आधी
half	हाफ
design	डिजाइन
design	डिज़ाइन
event	ईवेंट
event	घटना
event	कार्यक्रम
event	इवेंट
events	घटनाएँ
events	ईवेंट
events	कार्यक्रम
available	उपलब्ध
available	उपलब्धियाँ
done	सम्पन्न
done	किया
washington	वाशिंगटन
washington	वॉशिंगटन
real	असली
real	यथार्थ
real	रीयल
real	वास्तविक
real	रियल
start	आरंभ
start	प्रारंभ
personal	पर्सनल
personal	व्यक्तिगत
personal	निजी
action	क्रिया
action	एक्शन
action	कार्रवाई
space	अंतरिक्ष
space	समष्टि
space	जगह
space	स्पेस
areas	एटलस
areas	क्षेत्र
areas	क्षेत्रों
notability	notability
star	तारा
star	तारे
star	तारक
star	तारों
star	स्टार
really	सचमुच
really	वाकई
china	चीन
possible	संभव
possible	संभावित
paul	पाल
paul	पॉल
taken	लिया
far	दूर
minister	मंत्री
lake	झील
popular	लोकप्रिय
married	विवाहित
married	शादीशुदा
founded	स्थापित
founded	संस्थापित
europe	यूरोप
europe	यूरोपीय
author	रचयिता
author	लेखक
away	दूर
independent	स्वतंत्र
process	प्रक्रिया
process	प्रक्रम
teams	टीम
teams	टीमों
character	कैरेक्टर
character	वर्ण
character	अक्षर
low	निम्न
low	कम
michael	माइकल
pages	पृष्ठ
pages	पेज
pages	पन्ने
pages	पृष्ठों
light	रोशनी
light	प्रकाश
light	हल्का
light	लाइट
big	बड़े
big	बड़ा
big	बड़ी
big	बिग
seen	देखा
seen	देखी
release	release
release	रिलीज़
release	रिलीज
episode	प्रकरण
episode	एपिसोड
episode	एपीसोड
wrote	लिखा
republic	गणराज्य
republic	गणतंत्र
thomas	थॉमस
thomas	थामस
companies	कंपनियों
companies	कंपनियाँ
russian	रूसी
thanks	धन्यबाद
thanks	शुक्रिया
thanks	धन्यवाद
race	दौड़
race	जाति
race	रेस
route	मार्ग
route	रूट
recorded	दर्ज
recorded	अंकित
someone	किसी
civil	दीवानी
civil	सिविल
police	पुलिस
charles	चार्ल्स
listed	सूचीबद्ध
users	उपयोगकर्ताओं
users	प्रयोगकर्ता
users	उपयोगकर्ता
users	उपयोक्ता
template	टेम्प्लेट
template	टेम्पलेट
instead	बजाय
eastern	पूर्वी
body	जिस्म
body	बॉडी
body	शरीर
body	देह
question	प्रश्न
question	सवाल
italian	इतालवी
featured	प्रदर्शित
week	हफ्ते
week	सप्ताह
editors	संपादक
editors	संपादन
editors	सम्पादक
texas	टेक्सास
chief	प्रधान
chief	प्रमुख
chief	मुखिया
chief	मुख्य
close	बन्द
close	करीब
close	बंद
himself	खुद
match	माचिस
match	मिलाएँ
match	मिलान
match	मैच
roman	रोमन
come	आईये
come	आइये
opened	खोला
opened	खोली
tour	भ्रमण
tour	टूर
tour	दौरे
sea	सागर
sea	समुद्र
actually	दरअसल
cross	क्रास
cross	पार
cross	क्रॉस
health	सेहत
health	स्वास्थ्य
institute	इंस्टीट्यूट
institute	संस्थान
caps	कैप्स
forces	बलों
forces	शक्तियां
green	हरित
green	हरी
green	हरा
green	ग्रीन
rights	अधिकार
rights	अधिकारों
evidence	साक्ष्य
evidence	सबूत
evidence	प्रमाण
aircraft	विमान
aircraft	वायुयान
arts	कला
range	सीमा
range	दायरा
probably	शायद
probably	संभवतः
consensus	सर्वसम्मति
bar	पट्टी
bar	बार
problem	समस्या
problem	प्रॉब्लम
look	देखो
look	dekh
issues	समस्याएँ
issues	मुद्दे
average	औसत
network	नेटवर्क
network	संजाल
win	विन
win	जीत
wife	पत्नी
wife	बीवी
returned	लौटाया
returned	लौटे
night	रात
night	रात्रि
magazine	पत्रिका
centre	केंद्र
centre	केन्द्र
usually	प्रायः
middle	मध्य
completed	पूर्ण
completed	पूरा
completed	समाप्त
elected	चुनी
elected	निर्वाचित
african	अफ्रीकी
african	अफ़्रीकी
able	समर्थ
google	गूगल
google	google
stage	चरण
stage	स्टेज
addition	अलावा
addition	जोड़
addition	जोड
ireland	आयरलैंड
today	आज
academy	अकादमी
saint	संत
self	स्व
self	स्वयं
self	स्वः
continued	जारी
stations	स्टेशन
mother	maa
mother	माँ
africa	अफ़्रीका
africa	अफ्रीका
africa	अफ़्रीकी
culture	संस्कृति
spanish	स्पैनिश
spanish	स्पेनिश
spanish	स्पेनी
grand	ग्रैंड
committee	समिति
committee	कमेटी
things	बातों
things	चीजें
things	चीज़ें
things	बातें
things	बाते
fire	फायर
fire	अग्नि
fire	आग
changed	परिवर्तित
changed	बदला
gold	सोने
gold	सोना
gold	गोल्ड
gold	स्वर्ण
gold	सुनहरा
female	स्त्री
female	महिला
female	मादा
course	पाठ्यक्रम
course	कोर्स
directed	निर्देशित
months	महीनों
months	माह
months	महीने
chinese	चीनी
chinese	चाइनीज
previous	पिछले
previous	पिछला
developed	विकसित
size	आकार
mentioned	उल्लेखित
add	जोड़ें
add	add
festival	त्यौहार
festival	त्योहार
festival	उत्सव
festival	फ़ेस्टिवल
festival	पर्व
peter	पीटर
basketball	बास्केटबॉल
basketball	बास्केट
across	आरपार
move	चाल
move	मूव
performance	निष्पादन
performance	प्रदर्शन
standard	मानक
means	मतलब
means	यानि
means	अर्थात्
give	दे
training	प्रशिक्षण
artist	कलाकार
word	वर्ड
word	शब्द
blue	नीला
blue	डीलक्स
blue	ब्लू
primary	प्राथमिक
announced	घोषित
value	मूल्य
value	मान
christian	क्रिश्चियन
christian	क्रिस्चियन
christian	ईसाई
private	प्राइवेट
private	निजी
catholic	कैथोलिक
artists	कलाकार
artists	कलाकारों
includes	शामिल
view	देखें
view	दृश्य
thus	यूँ
almost	लगभग
baseball	बेसबॉल
seven	सात
ever	कभी
technology	तकनीक
technology	प्रौद्योगिकी
olympics	ओलंपिक्स
olympics	ओलंपिक
future	भविष्य
census	जनगणना
census	जनसांख्यिकी
images	छवि
images	छवियां
images	छवियाँ
images	चित्र
images	बिंब
los	लॉस
results	परिणामों
results	रिजल्ट
results	परिणाम
return	रिटर्न
return	वापसी
quality	क्वालिटी
quality	गुणवत्ता
quality	विशेषता
construction	निर्माण
zealand	जीलैंड
front	अग्र
front	सामने
cover	आवरण
cover	कवर
model	मॉडल
read	पढ़ें
read	पढ़े
read	पढ़ा
material	वस्तु
material	पदार्थ
material	सामग्री
strong	मजबूत
strong	मज़बूत
strong	बलवान
strong	दमदार
coach	कोच
henry	हेनरी
mark	मार्क
mark	चिह्नित
rev	रेव
organization	संगठन
studies	अध्ययन
federal	संघीय
richard	रिचर्ड
html	html
html	एचटीएमएल
virginia	वर्जीनिया
virginia	वर्जिनिया
car	कार
car	गाड़ी
car	गाडी
car	car
attack	हमले
attack	हमला
attack	आक्रमण
conference	सम्मेलन
outside	बाहर
study	अध्ययन
study	पढ़ाई
brother	भाई
brother	bhai
writer	रचनाकार
writer	राइटर
writer	लेखक
characters	किरदार
characters	अक्षर
characters	वर्ण
musical	संगीतमय
musical	musical
border	सीमा
border	सीमांत
border	बार्डर
border	बॉर्डर
border	किनारा
medical	चिकित्सीय
medical	मेडिकल
medical	चिकित्सा
countries	देश
countries	देशो
countries	देशों
past	अतीत
past	पास्ट
writing	लिखकर
writing	लेखन
writing	लिखना
writing	लिखने
interest	रुचि
interest	रूचि
interest	ब्याज
killed	मारे
medal	मैडल
medal	मेडल
medal	पदक
signed	हस्ताक्षरित
label	लेबल
fair	मेले
fair	फेयर
fair	उचित
fair	मेला
search	खोजें
search	खोज
search	ढूंढें
bay	बे
bay	खाड़ी
reference	संदर्भ
reference	सन्दर्भ
especially	विशेषकर
library	लाइब्रेरी
library	पुस्तकालय
library	पुस्तकालयों
eventually	अंततः
eventually	आखिरकार
management	प्रबंधन
management	प्रबन्धन
references	संदर्भ
references	सन्दर्भ
features	विशेषताएं
features	विशेषताएँ
features	सुविधाएँ
navy	नौसेना
navy	नेवी
guitar	गिटार
hill	पहाड़ी
hill	हिल
sure	पक्का
sure	ज़रूर
sure	निश्चित
sure	यकीनन
historical	ऐतिहासिक
lower	निचला
lower	निम्नतर
daughter	बेटी
appointed	नियुक्त
reading	पढ़ना
reading	पढना
systems	सिस्टम
systems	सिस्टम्स
systems	प्रणालियों
debut	डेब्यू
movement	आन्दोलन
movement	आंदोलन
movement	गति
specific	विशिष्ट
always	हमेशा
always	सदा
actor	अभिनेता
actor	एक्टर
actor	कर्ता
natural	स्वाभाविक
natural	कुदरती
natural	प्राकृतिक
clear	साफ
got	मिली
got	मिला
chicago	शिकागो
pennsylvania	पेन्सिलवेनिया
ten	दस
ten	दहला
ten	टेन
performed	performed
individual	व्यक्ति
individual	व्यक्तिगत
rule	शासन
rule	नियम
etc	आदि
etc	etc
etc	इत्यादि
lists	सूची
lists	सूचियां
lists	सूचियाँ
paris	पैरिस
paris	पेरिस
thought	सोचा
thought	विचार
brown	ब्राउन
brown	भूरा
hand	हाथ
reliable	विश्वसनीय
smith	स्मिथ
base	बेस
base	आधार
florida	फ्लोरिडा
capital	राजधानी
capital	पूंजी
valley	घाटी
bank	बैंकर
bank	बैंक
bank	बैंको
gave	दी
gave	दिया
ground	ग्राउंड
ground	जमीन
ground	मैदान
reached	पहुंचा
reached	पहुँचे
italy	इटली
energy	ऊर्जा
energy	उर्जा
believe	विश्वास
believe	मानना
leader	नेता
active	सक्रिय
active	क्रियाशील
online	ऑनलाइन
block	खंड
block	ब्लॉक
block	ब्लाक
bridge	ब्रिज
bridge	पुल
bridge	सेतु
families	परिवारों
changes	परिवर्तन
industry	उद्योग
collection	संग्रह
collection	कलेक्शन
collection	संग्रहण
request	अनुरोध
request	आग्रह
request	निवेदन
soon	जल्द
leading	अग्रणी
olympic	ओलम्पिक
sold	बेची
writers	लेखकों
writers	लेखक
professor	प्रोफ़ेसर
professor	प्रोफेसर
professor	प्राध्यापक
studio	स्टूडियो
studio	स्टुडियो
mexico	मेक्सिको
mexico	मैक्सिको
competition	प्रतिस्पर्धा
competition	प्रतियोगिता
campaign	अभियान
org	org
theatre	सिनेमाघर
theatre	रंगमंच
