the	на
long	дълъг
long	лонг
country	държава
country	страна
back	назад
back	обратно
back	гръб
way	начин
www	www
end	край
make	направи
public	публично
public	публични
public	публична
public	обществено
public	публичен
public	обществени
played	играха
played	играл
won	уон
won	спечели
another	друг
released	освободена
released	освободен
released	освободени
added	добавена
added	добавен
added	добавени
added	добавено
support	подпомагане
support	подкрепа
support	поддръжка
games	игри
former	бивши
former	бивш
former	бивша
those	тези
films	филми
church	църква
church	чърч
church	църквата
east	източно
east	изток
line	реплика
line	линия
major	майорът
major	майор
members	членове
members	членовете
good	добър
good	добро
good	добре
image	имидж
image	картинка
image	образ
image	изображение
show	покажи
show	показване
still	още
think	мисли
think	помисли
below	долу
below	отдолу
town	град
town	градът
town	градче
last	последно
last	последен
last	последни
last	последна
system	система
system	системата
system	системни
right	правилно
song	песен
song	песничка
section	сечение
section	секция
section	раздел
single	необвързан
single	единична
single	сингъл
single	необвързана
single	единичен
included	включени
included	включено
included	включена
included	включен
align	подравняване
home	дом
home	домашен
home	вкъщи
women	жени
women	жените
television	телевизия
television	телевизията
television	телевизор
seed	семе
seed	семена
member	член
goals	голове
goals	цели
sources	източници
book	тефтер
book	книга
station	станция
station	station
station	гара
order	ред
order	поръчка
old	старо
old	стари
old	стар
old	стара
information	информация
information	информиране
set	задаване
set	комплект
set	набор
own	собствен
own	собствена
own	собствено
own	собствени
text	текст
band	група
band	оркестър
band	банда
band	лента
point	точка
local	локална
local	местна
local	локално
local	местно
local	местни
local	местен
around	около
around	наоколо
river	ривър
river	река
river	реката
top	top
top	топ
top	върха
main	основни
main	основна
main	главна
main	главен
main	главни
language	езикът
language	езика
language	език
french	френско
french	французи
french	френска
french	френски
french	французин
https	https
off	off
off	изключено
note	забележка
note	бележка
career	кариера
original	оригинални
original	оригинал
original	оригинално
original	оригинална
original	оригинален
age	възраст
service	услуга
service	служба
service	сервиз
service	обслужване
service	услуги
established	установен
established	установена
established	установени
established	установено
located	разположена
located	разположен
located	разположени
located	разположено
said	каза
said	саид
website	уебсайт
website	сайт
population	популация
population	население
air	air
air	въздуха
air	въздушно
air	въздушен
air	въздух
german	германец
german	германски
german	немски
german	немска
german	германска
law	закон
military	военно
military	военен
military	военна
military	военни
great	страхотно
clubs	клубове
clubs	спатия
clubs	клубовете
clubs	стикове
published	публикувани
published	публикуван
published	публикувана
published	публикувано
president	президентът
president	президент
president	председател
park	парк
park	park
official	официален
official	официално
official	официална
case	случай
case	дело
case	кейс
case	случаят
case	каса
london	london
london	лондон
times	пъти
times	времена
times	таймс
times	times
although	макар
small	малка
small	малки
small	малък
small	дребен
third	трети
third	трета
third	трето
different	различна
different	различно
different	различни
different	различен
due	дължима
due	дължими
village	село
closed	затворен
closed	затворена
closed	затворено
closed	затворени
art	арт
art	изкуството
art	art
art	изкуство
player	плеър
player	играч
final	финал
final	краен
final	окончателно
community	общност
community	общността
held	държана
held	проведе
held	държани
held	държан
again	отново
again	пак
army	армията
army	армеец
army	армия
army	армейски
award	възлагане
award	награда
without	без
death	смърт
death	смъртта
built	построени
built	изградена
built	построена
built	построено
built	построен
men	мъжете
men	men
men	мъже
large	голямо
large	големи
large	голям
large	голяма
site	сайт
using	използвайки
deletion	заличаване
white	бяла
white	бели
white	бял
white	бяло
five	пет
central	централно
central	централен
central	централа
central	централни
central	централна
road	пътят
road	път
road	road
road	пътя
children	децата
children	деца
free	свободно
free	свободни
free	свободен
free	свободна
free	безплатни
free	безплатно
england	англия
include	включват
include	включване
association	сдружение
association	асоциация
association	асоцииране
down	долу
down	надолу
given	дадени
given	дадена
given	дадено
source	източник
california	калифорния
california	калифорнийски
man	човече
man	човек
man	мъж
version	версия
written	писмено
written	написана
written	написано
written	писмен
written	писмена
created	създадени
created	създадено
created	създадена
created	създаде
created	създаден
media	медии
media	медия
media	медиите
black	черни
black	черно
black	черна
black	черен
though	макар
php	php
report	докладване
report	доклад
building	изграждане
building	сграда
building	сградата
take	вземете
take	вземи
division	участък
division	разделение
division	дивизия
division	деление
comment	коментар
comment	коментирайте
comment	коментирам
king	крал
king	кинг
king	кралят
king	цар
king	краля
edit	редактиране
stadium	стадион
stadium	стадиона
died	умрял
died	умряла
ship	кораб
research	проучване
research	проучвания
research	изследване
research	изследвания
record	рекорд
record	запис
archive	архив
archive	архиви
places	места
undo	отмяна
cup	чашка
cup	чаша
cup	купа
cup	къп
records	архиви
records	плочи
records	записи
records	регистри
often	често
few	няколко
few	малцина
received	получено
received	получена
received	получен
received	получени
side	страна
side	страничен
power	мощност
power	сила
power	власт
power	мощ
education	обучение
education	образование
education	възпитание
category	категория
water	вода
water	водата
political	политическа
political	политически
political	политическо
species	видове
species	вид
field	полето
field	поле
near	близко
near	близо
australia	австралия
video	запис
video	видеоклип
video	видео
need	необходимост
need	нужда
need	потребност
island	острова
island	island
island	остров
island	островът
island	айлънд
form	формуляр
form	форма
find	открийте
find	намиране
find	намерете
find	намери
find	намеря
served	служил
play	играе
play	играй
play	свири
play	игра
project	проект
project	проектът
project	проекта
radio	radio
radio	радиото
radio	радио
works	работи
works	произведения
proposed	предложени
proposed	предложена
proposed	предложен
proposed	предложено
every	всяка
every	всеки
every	всяко
development	развитие
development	разработване
development	разработка
example	примерна
example	пример
live	живи
live	жива
live	live
live	жив
live	живей
union	профсъюз
union	съюз
union	съюза
union	юниън
india	индия
next	следващо
next	следващ
next	следваща
special	специална
special	специално
special	специални
special	специален
court	съдът
court	съд
court	корт
region	район
region	регион
region	област
little	малка
little	малки
little	малък
little	литъл
little	малко
short	кратко
short	къса
short	кратка
short	късо
short	кратък
william	уилям
province	провинцията
province	провинция
western	западна
western	западни
western	западен
western	западните
western	уестърн
western	western
son	синко
son	сине
son	син
france	франция
council	съветът
council	съвет
council	съвета
others	другите
others	други
royal	роял
royal	кралско
royal	кралска
royal	royal
royal	кралски
current	ток
current	текущ
current	текуща
current	текущи
current	настоящ
street	улица
street	стрийт
street	street
street	улицата
full	пълна
full	пълни
full	пълен
full	пълно
red	ред
red	червена
red	червен
red	червени
red	червено
department	отдел
department	департамент
san	сан
help	помощ
among	сред
preserved	запазено
preserved	запазен
preserved	запазени
preserved	консервирани
preserved	запазена
james	джеймс
open	отворено
open	отвори
open	отваряне
force	сила
position	позиция
position	положение
position	длъжност
head	главата
head	глава
director	директорът
director	режисьор
director	директор
father	баща
father	татко
track	коловоз
track	писта
track	пистата
http	http
canada	канада
never	никога
australian	австралийски
george	джордж
jpg	jpg
level	равнище
level	ниво
late	късно
late	закъснява
summer	лятото
summer	съмър
summer	лято
summer	лятно
summer	самър
society	общество
society	обществото
moved	преместени
moved	преместен
moved	преместена
office	кабинет
office	офисът
office	офис
office	офиса
period	период
championship	първенство
championship	шампионат
round	кръгла
round	кръгли
round	рунд
round	кръгло
round	кръг
story	приказка
story	история
songs	песните
songs	песни
various	различни
file	файл
file	файлът
file	досие
days	дни
days	дена
land	земи
land	земя
business	бизнес
reason	причина
america	америка
million	милион
european	европейско
european	европейски
european	европеец
european	европейска
term	срок
term	термин
term	мандат
six	шестима
six	шест
post	post
post	публикация
post	публикуване
post	пост
why	защо
produced	произведени
produced	произведена
produced	произведен
produced	произведено
making	правене
subject	субект
subject	обект
young	млада
young	младо
young	млади
young	йънг
young	млад
total	общо
total	общ
total	обща
david	дейвид
david	давид
science	науката
science	наука
related	свързани
related	свързан
related	свързана
related	свързано
rock	скала
rock	rock
rock	рок
rock	скали
rock	камък
archived	архивирани
railway	железници
railway	железница
railway	железопътен
led	led
led	доведе
students	студенти
students	ученици
started	започна
news	новини
news	новина
news	новините
described	описани
described	описано
described	описана
described	описан
role	роля
election	изборите
election	избори
albums	албуми
albums	албумите
present	подарък
present	настояще
present	присъстващи
indian	индианец
indian	индиец
indian	индийско
indian	индийски
indian	индийска
kingdom	кралство
kingdom	царство
books	книгите
books	книги
important	важно
important	важен
important	важни
important	важна
northern	северни
northern	северен
northern	северна
love	обич
love	любов
love	любовта
love	обичам
run	бягай
canadian	канадци
canadian	канадска
canadian	канадец
canadian	канадски
press	преса
press	натиснете
press	натисни
press	пресата
type	вид
type	тип
act	act
act	акт
editor	редактор
came	дойде
schools	училища
schools	школи
schools	училищата
program	програмата
program	програма
once	веднъж
issue	издаване
social	социално
social	социален
social	социални
social	социална
germany	германия
production	продукция
production	производство
male	мъжко
male	мъжки
male	мъж
male	мъжкар
male	мъжка
awards	награди
points	точки
similar	подобно
similar	подобен
similar	сходен
similar	подобна
similar	подобни
professional	професионални
professional	професионална
professional	професионалист
professional	професионален
professional	професионално
say	кажи
background	фон
background	контекст
enough	достатъчно
lead	води
lead	олово
common	обща
common	общ
common	общи
common	чести
overlap	припокриване
data	дейта
data	данни
color	цветове
color	цвят
color	цветен
color	цветно
person	човек
person	личност
services	услуги
services	служби
bgcolor	bgcolor
museum	музей
battle	битката
battle	битка
sports	спортни
sports	спортен
sports	спорт
sports	спортно
sports	спортове
already	вече
currently	понастоящем
hall	зала
hall	хол
hall	hall
buildings	сгради
historic	историческа
historic	исторически
historic	историческо
date	среща
date	дата
deleted	изтрит
deleted	изтрита
deleted	изтрито
deleted	изтрити
considered	разглеждания
considered	разглеждан
change	промени
change	смяна
change	промяна
location	местоположение
location	място
location	местонахождение
location	локация
seems	изглежда
yes	да
our	нашият
our	наша
our	нашия
our	нашата
our	нашите
southern	южен
southern	южни
southern	южна
lost	изгубено
lost	изгубени
lost	изгубена
lost	загубен
lost	загуби
lost	изгубен
something	нещо
review	преглед
review	преразглеждане
together	заедно
robert	роберт
robert	робер
robert	робърт
fact	факт
japanese	японско
japanese	японска
japanese	японци
japanese	японец
japanese	японски
groups	групи
content	съдържание
involved	замесена
involved	замесен
isbn	isbn
board	дъска
board	борд
board	борда
japan	япония
control	контролиране
control	контрол
policy	политиката
policy	полица
policy	политика
modern	модерно
modern	модерни
modern	модерна
modern	съвременно
modern	модерен
modern	съвременен
human	човешка
human	човешко
human	човек
human	човешки
half	наполовина
half	половината
design	проектиране
design	дизайн
event	събитието
event	събитие
events	събития
events	мероприятия
events	случки
available	наличен
available	налично
available	налични
available	налична
done	готово
done	направено
done	сторено
washington	уошингтън
washington	вашингтон
real	истинско
real	реал
real	истинска
real	реално
real	истински
start	начало
start	старт
start	започнете
start	стартиране
personal	лично
personal	личен
personal	лична
personal	лични
personal	персонален
action	действия
action	действие
action	екшън
space	пространство
space	космос
space	космоса
areas	райони
areas	зони
areas	площи
areas	области
notability	notability
star	звезден
star	звезда
really	наистина
china	порцелан
china	китай
china	чайна
possible	възможно
possible	възможен
possible	възможна
possible	възможни
paul	пол
paul	паул
working	работещ
working	работен
working	работим
taken	взет
taken	взето
taken	взети
minister	министър
lake	езерото
lake	лейк
lake	езеро
reported	докладвани
reported	съобщено
reported	докладвано
popular	популярно
popular	популярен
popular	популярна
popular	популярни
married	женени
married	женена
married	омъжена
married	женен
founded	основана
founded	основано
founded	основан
europe	европа
author	автор
away	надалеч
away	далеч
independent	независима
independent	независими
independent	независим
process	процес
teams	отбори
teams	екипи
character	характер
low	долно
low	ниско
low	ниски
low	нисък
low	ниска
michael	майкъл
pages	страници
light	светло
light	светлина
light	светлината
big	биг
big	голямо
big	големи
big	голям
big	голяма
seen	видян
seen	виждал
seen	видяна
seen	видяно
release	пускане
release	освобождаване
episode	епизод
wrote	написал
wrote	написа
republic	република
thomas	томас
thomas	тома
companies	дружества
companies	фирми
companies	компании
via	виа
via	via
via	чрез
russian	руснак
russian	руски
russian	руснаци
russian	руска
russian	руско
thanks	мерси
thanks	благодаря
put	сложи
race	надпревара
race	надбягване
race	състезание
race	раса
worked	работил
route	маршрут
route	път
route	трасе
recorded	записани
recorded	записано
recorded	записан
recorded	записана
someone	някой
civil	гражданско
civil	граждански
civil	гражданска
police	полиция
charles	чарлз
charles	чарлс
charles	шарл
listed	изброени
users	потребители
users	потребителите
users	ползватели
template	шаблон
instead	вместо
eastern	източна
eastern	източно
eastern	източни
eastern	изток
eastern	източен
body	тялото
body	тяло
body	телесно
question	въпрос
italian	италианска
italian	италианец
italian	италиански
italian	италианско
featured	препоръчани
week	седмицата
week	седмица
editors	редактори
texas	тексас
chief	шефе
chief	началник
close	затваряне
close	близко
close	близо
close	близки
match	мач
match	съвпадение
roman	римски
roman	римлянин
roman	роман
roman	римска
come	ела
tour	турне
tour	обиколка
tour	тур
sea	море
sea	морето
actually	всъщност
cross	крос
cross	кръст
cross	кръста
playing	играе
playing	свирене
playing	играят
health	здраве
health	здравеопазване
health	здравето
institute	институт
institute	института
caps	шапки
caps	капачки
forces	сили
green	грийн
green	зелено
green	зелен
green	зелена
green	зелени
rights	права
evidence	доказателство
evidence	улики
evidence	доказателства
originally	първоначално
aircraft	вс
aircraft	самолети
arts	изкуства
arts	изкуствата
arts	изкуство
range	диапазон
range	обхват
range	обсег
probably	вероятно
consensus	консенсус
consensus	единодушие
bar	бар
bar	барът
problem	проблем
look	виж
issues	въпроси
issues	проблеми
alumni	възпитаници
average	среден
average	средно
network	мрежови
network	мрежа
network	мрежова
network	мрежата
win	победи
win	печеля
win	спечели
win	печелиш
win	победа
shows	показва
wife	жена
wife	съпруга
wife	съпругата
returned	върнато
returned	върнати
returned	върната
night	вечер
night	нощ
night	нощта
magazine	списание
centre	център
joined	съединени
usually	обикновенно
usually	обикновено
completed	завършена
completed	завършени
completed	завършен
completed	завършено
significant	значителен
significant	значително
significant	значителни
significant	значим
significant	значителна
african	африканска
african	африкански
able	ейбъл
google	гугъл
google	google
stage	стадий
stage	сцена
stage	етап
stage	сцената
addition	добавка
addition	добавяне
addition	допълнение
ireland	ирландия
today	днеска
today	днес
academy	академията
academy	академия
saint	сейнт
saint	свети
saint	светица
saint	светец
self	селф
continued	продължение
continued	продължаване
continued	продължи
continued	продължил
stations	станции
mother	майка
mother	майко
africa	африка
culture	култура
spanish	испанци
spanish	испанска
spanish	испанско
spanish	испански
grand	бона
grand	гранд
committee	комитет
committee	комисия
things	неща
things	нещата
fire	огън
fire	пожар
changed	променена
changed	променени
changed	променен
changed	променено
gold	златен
gold	златни
gold	златно
gold	златна
gold	злато
female	женско
female	жена
female	женски
female	женска
course	курс
directed	насочено
directed	насочени
months	месеца
months	месеци
months	месеците
chinese	китайци
chinese	китайска
chinese	китайско
chinese	китайски
chinese	китаец
previous	предишна
previous	предишни
previous	предишен
previous	предишно
developed	разработена
developed	развит
developed	разработени
developed	разработен
developed	развитите
developed	развита
size	размери
size	големина
size	размер
mentioned	спомената
mentioned	споменато
mentioned	споменат
add	добави
add	добавяне
add	добавя
add	добавете
festival	фестивала
festival	фестивал
festival	фестивалът
peter	петър
peter	питър
peter	петер
basketball	баскетбол
basketball	баскетбола
basketball	баскетболен
move	преместване
move	движение
performance	изпълнение
performance	ефективност
standard	стандартна
standard	стандарт
standard	стандартни
standard	стандартно
standard	стандартен
means	означава
give	дай
training	тренировки
training	обучение
training	тренировка
artist	изпълнител
artist	художничка
artist	художник
artist	артист
artist	творец
word	дума
blue	сини
blue	блу
blue	синьо
blue	син
blue	синя
primary	първична
primary	първични
primary	първичен
primary	първично
announced	обявена
announced	обявен
announced	обяви
announced	обявени
announced	обявено
value	стойност
christian	кристиан
christian	кристиян
christian	крисчън
christian	християнин
private	частни
private	частно
private	редник
private	частна
private	личен
private	частен
catholic	католическа
catholic	католическо
catholic	католик
catholic	католици
catholic	католичка
artists	творци
artists	художници
artists	изпълнители
artists	артисти
includes	включват
includes	включва
view	изглед
view	гледка
view	оглед
view	преглед
almost	почти
baseball	бейзбол
baseball	бейзбола
baseball	бейзболът
seven	седем
seven	седма
ever	някога
provide	предоставят
technology	технология
technology	технологии
olympics	олимпиадата
olympics	олимпиада
future	бъдеще
future	бъдещ
future	бъдещи
future	бъдещето
future	бъдеща
census	преброяването
census	преброяване
images	изображения
images	образи
los	лос
results	резултати
return	връщане
return	завръщане
quality	качество
quality	качеството
construction	изграждане
construction	строеж
construction	конструкция
construction	строителство
zealand	зеландия
front	преден
front	предни
front	отпред
front	фронт
front	предна
cover	прикритие
cover	корица
cover	покритие
cover	покриване
model	образец
model	модел
despite	въпреки
read	четете
read	прочетете
read	чета
read	чети
read	прочети
read	четене
material	материал
material	материали
material	материално
strong	силни
strong	силен
strong	силно
strong	силна
coach	треньор
coach	треньорът
henry	хенри
footballers	футболисти
footballers	футболистите
mark	марк
mark	отбелязване
rev	rev
rev	рев
organization	организация
studies	изследвания
studies	проучвания
federal	федерален
federal	федерално
federal	федерална
richard	ричард
html	html
virginia	вирджиния
car	автомобил
car	кола
car	колата
attack	атака
conference	конференция
outside	отвън
outside	навън
study	учене
study	учи
study	проучване
study	изучаване
study	изследване
brother	братко
brother	брат
names	наименования
names	имената
names	имена
writer	писателка
writer	сценарист
writer	писател
characters	знаци
characters	герои
characters	символи
musical	музикален
musical	музикално
musical	мюзикъл
musical	музикална
nothing	нищо
border	границата
border	граница
border	гранична
medical	медицински
medical	медицинска
countries	държави
countries	страни
past	минали
past	минало
writing	пиша
writing	писане
interest	интерес
interest	лихви
interest	лихва
provided	предоставено
provided	предоставен
provided	предоставени
provided	осигурени
provided	предоставена
killed	убита
killed	убити
killed	убит
medal	медал
signed	подписано
signed	подписан
signed	подписани
signed	подпис
label	етикет
fair	панаир
fair	справедлив
fair	справедливо
fair	справедлива
search	търси
search	търсене
bay	бей
bay	залив
bay	заливът
bay	bay
reference	препратка
reference	позоваване
reference	референтни
especially	особено
removed	премахната
removed	премахнато
removed	премахнат
removed	премахнати
removed	отстранени
library	библиотеката
library	библиотека
management	мениджмънт
management	управление
references	препратки
references	препоръки
references	позовавания
features	черти
features	особености
features	характеристики
navy	флот
guitar	китарата
guitar	китара
hill	хълм
hill	хил
hill	hill
historical	историческа
historical	исторически
historical	историческо
lower	долна
lower	долен
daughter	дъще
daughter	дъщеря
appointed	назначени
appointed	назначена
appointed	назначен
reading	чета
reading	четенето
reading	четене
systems	системи
debut	дебют
movement	придвижване
movement	движение
specific	конкретни
specific	специфично
specific	специфичен
specific	специфична
specific	специфични
always	винаги
actor	актьор
natural	натурални
natural	естествени
natural	естествена
natural	естествен
clear	ясно
clear	изчистване
coast	крайбрежие
coast	бряг
let	нека
chicago	чикаго
championships	първенство
championships	шампионат
pennsylvania	пенсилвания
ten	десетка
ten	ten
ten	десет
performed	извършен
performed	проведено
performed	извършено
performed	извърши
performed	извършена
individual	индивидуален
individual	индивидуално
individual	индивидуална
individual	индивид
individual	индивидуални
designed	проектирано
designed	проектирана
designed	проектиран
designed	проектирани
rule	правилото
rule	правило
lists	списъци
paris	парис
paris	париж
thought	мисъл
brown	кафяв
brown	кафяви
brown	браун
brown	кафява
brown	кафяво
hand	ръка
hand	ръката
needs	нужди
reliable	надеждно
reliable	надежден
reliable	надеждни
reliable	надеждна
smith	смит
base	основа
base	база
sometimes	понякога
florida	флорида
capital	столица
capital	капитал
capital	капитали
capital	столицата
valley	долината
valley	долина
valley	вали
bank	банк
bank	банката
bank	bank
bank	банка
gave	даде
gave	дала
ground	земя
reached	постигнато
reached	достигнат
reached	достигната
italy	италия
energy	енергия
energy	energy
energy	енергетика
believe	вярвай
leader	лидер
leader	водач
active	активна
active	активно
active	активни
active	активен
online	онлайн
online	online
block	блокиране
block	блок
bridge	мостик
bridge	мост
bridge	бридж
families	фамилии
families	семейства
changes	промени
changes	промените
changes	изменения
followed	последва
industry	промишлеността
industry	индустрия
industry	промишленост
collection	събиране
collection	колекция
request	заявка
request	молба
request	искане
soon	скоро
leading	водещи
leading	водещо
olympic	олимпик
olympic	олимпийски
sold	продаден
sold	продадена
sold	продадено
sold	продадени
writers	писатели
writers	писателите
writers	сценаристи
professor	професор
studio	ателие
studio	студио
mexico	мексико
competition	конкуренция
competition	конкурс
competition	състезание
campaign	кампанията
campaign	кампания
org	org
theatre	театър
empire	империята
empire	емпайър
empire	империя
length	дължина
islands	острови
islands	островите
singer	певецът
singer	певица
singer	сингър
singer	певец
create	създаване
create	създайте
redirect	пренасочи
redirect	пренасочване
additional	допълнителни
additional	допълнителна
additional	допълнителен
additional	допълнително
soviet	съветска
soviet	съветски
market	пазарна
market	пазар
market	пазарен
words	думите
words	думи
producer	продуцент
producer	производител
notes	забележки
notes	записки
notes	бележки
notes	ноти
hockey	хокей
novel	романът
novel	новела
novel	роман
code	код
referee	рефер
referee	съдия
referee	арбитър
fourth	четвърта
fourth	четвърто
fourth	четвърти
sport	спорт
sport	спортен
van	микробус
van	бус
van	van
van	ван
van	вана
mary	мери
airport	летището
airport	летище
sound	звук
sound	звука
status	статус
status	състояние
status	положение
status	статут
irish	ирландски
irish	ирландска
irish	ирландци
irish	ирландско
placed	поставено
placed	поставен
placed	поставени
child	дете
idea	идея
foreign	чужди
foreign	чуждестранни
foreign	чужд
foreign	чужда
foreign	чужденец
municipality	община
register	регистър
eight	осем
problems	проблеми
problems	проблемите
native	родна
native	местни
coverage	отразяване
coverage	покритие
channel	канал
channel	каналът
parliament	парламента
parliament	парламентът
parliament	парламент
username	username
edition	изданието
edition	издание
minor	незначителни
says	казва
foundation	основи
foundation	фондация
foundation	основа
units	звена
units	единици
movie	филмова
movie	филм
runs	управлява
runs	тича
ice	айс
ice	лед
limited	ограничено
limited	ограничена
limited	limited
limited	ограничен
limited	ограничени
unit	поделение
unit	единица
student	студентка
student	ученик
student	ученичка
